id,name,park
232177,SUGARLOAF 1 CAMPGROUND,White Mountain National Forest
233067,SHAKES SLOUGH 1 CABIN,Tongass National Forest
233073,GUT ISLAND 1 CABIN,Tongass National Forest
233096,HIRZ BAY GROUP 1,SHASTA-TRINITY NATIONAL FOREST
233220,SABINO CANYON RECREATION AREA CACTUS RAMADA 1,Coronado National Forest
234584,CHEOAH POINT CABIN 1,National Forests in North Carolina
234707,PLATORO CABIN 1,Rio Grande National Forest
251784,Grandview Shelter 1,New River Gorge National River
273760,TAILWATER SHELTER 1 (BROOKVILLE LAKE),Brookville Lake
232603,HIGHWAY 125 PARK BULL SHOALS,Bull Shoals Lake
232140,SUGARLOAF 2 CAMPGROUND,White Mountain National Forest
233068,SHAKES SLOUGH 2 CABIN,Tongass National Forest
233086,GUT ISLAND 2 CABIN,Tongass National Forest
233097,HIRZ BAY GROUP 2,SHASTA-TRINITY NATIONAL FOREST
233219,SABINO CANYON RECREATION AREA CACTUS RAMADA 2,Coronado National Forest
234585,CHEOAH POINT CABIN 2,National Forests in North Carolina
234706,PLATORO CABIN 2,Rio Grande National Forest
251787,Grandview Shelter 2,New River Gorge National River
251870,COOPER BRANCH No 2 DAY USE AREA (GA),Allatoona Lake
273380,TAILWATER SHELTER 2 (BROOKVILLE LAKE),Brookville Lake
232659,OLD HIGHWAY 25,Greers Ferry Lake
10007130,Cabin Camp 3,Prince William Forest Park
232660,OLD HWY 41 NO 3,Allatoona Lake
251786,Grandview Shelter 3,New River Gorge National River
10004152,Camp 4,Yosemite National Park
233256,CAMP 4 GROUP CAMPGROUND,SHASTA-TRINITY NATIONAL FOREST
251785,Grandview Shelter 4,New River Gorge National River
234446,South Fork Group Use Site #5,Nez Perce-Clearwater National Forests
251473,AUK RECREATION AREA SHELTER 5,Tongass National Forest
233202,LAKE INEZ POINT 6 (GROUP CAMP SITE),Lolo National Forest
232656,OLD HIGHWAY 86,Table Rock Lake
233511,HIGHWAY 9 LANDING,Eufaula Lake
234011,CAMP 9,Sequoia National Forest
232528,BLUE BLUFF CAMPGROUND (ABERDEEN MS),Tennessee-Tombigbee Waterway
233598,RIANA - ABIQUIU LAKE,Abiquiu Lake
273847,ABRAM'S CREEK CAMPGROUND,Great Smoky Mountains National Park
233684,South Abutment Recreation Area,Arkabutla Lake
234277,NORTH ABUTMENT,Grenada Lake
233322,ACKER ROCK LOOKOUT,Umpqua National Forest
